
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
A0:63:91:85:72:81, 2019-10-16 16:19:00, 2019-10-16 16:19:00,  1, 270, WPA2, CCMP TKIP, PSK, -92,        1,        0,   0.  0.  0.  0,   6, 4F-NET, 
80:8D:B7:41:22:00, 2019-10-16 16:19:00, 2019-10-16 16:19:04,  1, 130, WPA2, CCMP TKIP, PSK, -80,        3,        1,   0.  0.  0.  0,  12, IIITS_Hostel, 
80:8D:B7:41:44:00, 2019-10-16 16:19:00, 2019-10-16 16:19:04,  1, 130, WPA2, CCMP TKIP, PSK, -82,        2,        4,   0.  0.  0.  0,  12, IIITS_Hostel, 
D8:32:E3:47:7D:52, 2019-10-16 16:19:00, 2019-10-16 16:19:00,  1,  -1, WPA, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
80:8D:B7:41:55:60, 2019-10-16 16:19:00, 2019-10-16 16:19:04,  1, 130, WPA2, CCMP TKIP, PSK, -67,        3,        4,   0.  0.  0.  0,  12, IIITS_Hostel, 
2C:33:7A:1B:66:3F, 2019-10-16 16:19:00, 2019-10-16 16:19:04,  1,  65, WPA2, CCMP, PSK, -84,        4,        0,   0.  0.  0.  0,  28, DIRECT-YEDESKTOP-M5FH8JVmsAW, 
44:48:C1:FC:AB:20, 2019-10-16 16:19:00, 2019-10-16 16:19:04,  1, 130, WPA2, CCMP TKIP, PSK, -77,        3,        3,   0.  0.  0.  0,  12, IIITS_Hostel, 
44:48:C1:FC:A8:E0, 2019-10-16 16:19:00, 2019-10-16 16:19:04,  6, 130, WPA2, CCMP TKIP, PSK, -59,        7,        0,   0.  0.  0.  0,  12, IIITS_Hostel, 
DC:EF:09:EC:D1:B2, 2019-10-16 16:19:00, 2019-10-16 16:19:04,  6, 270, WPA2, CCMP, PSK, -84,        9,        0,   0.  0.  0.  0,  14, NETGEAR-2_11ng, 
44:48:C1:58:4F:C0, 2019-10-16 16:19:00, 2019-10-16 16:19:04,  6, 130, WPA2, CCMP TKIP, PSK, -82,        4,        5,   0.  0.  0.  0,  12, IIITS_Hostel, 
44:48:C1:FC:AD:60, 2019-10-16 16:19:00, 2019-10-16 16:19:04,  6, 130, WPA2, CCMP TKIP, PSK, -80,        8,        0,   0.  0.  0.  0,  12, IIITS_Hostel, 
DC:1A:C5:3D:6E:DF, 2019-10-16 16:19:00, 2019-10-16 16:19:03,  6,  65, WPA2, CCMP, PSK, -87,        3,        0,   0.  0.  0.  0,   9, brutalbat, 
50:8F:4C:B4:66:3D, 2019-10-16 16:19:00, 2019-10-16 16:19:04,  6,  65, WPA2, CCMP, PSK, -32,        6,        0,   0.  0.  0.  0,   9, Vishwanth, 
DC:EF:09:EC:D1:B0, 2019-10-16 16:19:01, 2019-10-16 16:19:03,  6, 270, WPA2 WPA, CCMP TKIP, PSK, -84,        4,        0,   0.  0.  0.  0,   6, 3F-NET, 
DC:EF:09:EC:D1:B1, 2019-10-16 16:19:01, 2019-10-16 16:19:04,  6, 270, WPA2, CCMP TKIP, PSK, -83,        6,        0,   0.  0.  0.  0,   8, 3F-NET-1, 
44:48:C1:FC:AB:00, 2019-10-16 16:19:02, 2019-10-16 16:19:04,  6, 130, WPA2, CCMP TKIP, PSK, -83,        6,        0,   0.  0.  0.  0,  12, IIITS_Hostel, 
50:D4:F7:07:F1:C7, 2019-10-16 16:19:03, 2019-10-16 16:19:03,  5, 405, WPA, CCMP TKIP, PSK, -91,        1,        4,   0.  0.  0.  0,  12, IIITS_Hostel, 
50:D4:F7:08:16:51, 2019-10-16 16:19:03, 2019-10-16 16:19:03,  5, 195, WPA, CCMP TKIP, PSK, -90,        1,        0,   0.  0.  0.  0,  16, IIITS_Hostel_New, 
50:D4:F7:08:1A:05, 2019-10-16 16:19:03, 2019-10-16 16:19:03,  5, 195, WPA, CCMP TKIP, PSK, -81,        3,        0,   0.  0.  0.  0,  16, IIITS_Hostel_New, 
38:17:C3:17:33:60, 2019-10-16 16:19:03, 2019-10-16 16:19:03, 11, 260, WPA2, CCMP TKIP, PSK, -76,        1,        0,   0.  0.  0.  0,  12, IIITS_Hostel, 
B4:C6:F8:00:1B:E4, 2019-10-16 16:19:03, 2019-10-16 16:19:04,  6,  -1, WPA, ,   ,  -1,        0,       19,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
20:F4:78:B2:CF:40, 2019-10-16 16:19:02, 2019-10-16 16:19:02, -83,        1, (not associated) ,
38:E6:0A:CA:38:8E, 2019-10-16 16:19:03, 2019-10-16 16:19:03, -91,        4, 50:D4:F7:07:F1:C7,
34:41:5D:6A:D8:6C, 2019-10-16 16:19:03, 2019-10-16 16:19:04, -89,       19, B4:C6:F8:00:1B:E4,
80:58:F8:A1:F0:02, 2019-10-16 16:19:03, 2019-10-16 16:19:04, -83,        5, (not associated) ,
DA:A1:19:2A:85:E5, 2019-10-16 16:19:04, 2019-10-16 16:19:04, -78,        5, (not associated) ,
98:0C:A5:D7:66:81, 2019-10-16 16:19:04, 2019-10-16 16:19:04, -89,        3, (not associated) ,blessy
74:40:BB:AB:45:6F, 2019-10-16 16:19:04, 2019-10-16 16:19:04, -77,        2, 80:8D:B7:41:55:60,
80:58:F8:14:CD:0A, 2019-10-16 16:19:04, 2019-10-16 16:19:04, -85,        1, 80:8D:B7:41:55:60,

